iter	Passed	Remaining
0	141	140964
1	141	70708
2	142	47293
3	142	35580
4	143	28553
5	144	23872
6	144	20523
7	145	18007
8	146	16090
9	146	14526
10	147	13253
11	148	12187
12	148	11290
13	149	10527
14	150	9867
15	151	9290
16	151	8771
17	152	8317
18	153	7905
19	153	7534
20	154	7196
21	155	6890
22	155	6612
23	156	6353
24	156	6115
25	157	5894
26	157	5690
27	158	5499
28	158	5323
29	159	5158
30	160	5010
31	161	4879
32	161	4744
33	162	4616
34	163	4495
35	163	4381
36	164	4272
37	165	4178
38	165	4087
39	166	3995
40	167	3910
41	167	3826
42	168	3746
43	168	3669
44	169	3595
45	169	3525
46	170	3458
47	171	3393
48	171	3332
49	172	3273
50	172	3216
51	173	3161
52	173	3108
53	174	3061
54	175	3019
55	176	2973
56	176	2927
57	177	2882
58	178	2840
59	178	2800
60	179	2762
61	181	2739
62	181	2702
63	182	2668
64	183	2634
65	183	2600
66	184	2568
67	185	2536
68	185	2505
69	186	2474
70	186	2444
71	187	2415
72	187	2387
73	188	2359
74	189	2339
75	190	2314
76	190	2288
77	191	2264
78	192	2240
79	192	2218
80	193	2198
81	194	2176
82	194	2152
83	195	2130
84	195	2109
85	196	2088
86	197	2068
87	197	2049
88	198	2030
89	198	2011
90	199	1992
91	200	1974
92	200	1957
93	201	1939
94	201	1922
95	202	1905
96	203	1889
97	203	1874
98	205	1873
99	206	1858
100	207	1843
101	207	1829
102	208	1814
103	209	1801
104	209	1789
105	210	1777
106	211	1765
107	212	1753
108	213	1741
109	213	1728
110	214	1715
111	214	1702
112	215	1690
113	216	1679
114	216	1667
115	217	1655
116	217	1643
117	218	1631
118	219	1625
119	221	1621
120	221	1611
121	222	1599
122	222	1589
123	223	1579
124	224	1569
125	224	1558
126	225	1548
127	225	1538
128	226	1529
129	227	1522
130	228	1513
131	229	1505
132	229	1497
133	230	1487
134	230	1478
135	231	1469
136	231	1460
137	232	1451
138	232	1443
139	233	1436
140	236	1438
141	236	1429
142	237	1421
143	237	1414
144	238	1406
145	239	1398
146	239	1391
147	240	1384
148	241	1377
149	241	1370
150	242	1363
151	243	1356
152	243	1350
153	244	1343
154	245	1336
155	245	1330
156	246	1324
157	247	1317
158	247	1310
159	248	1303
160	250	1307
161	251	1301
162	252	1295
163	253	1290
164	253	1284
165	254	1277
166	254	1271
167	255	1264
168	256	1259
169	256	1253
170	257	1248
171	258	1243
172	259	1239
173	259	1233
174	260	1228
175	261	1222
176	261	1216
177	262	1210
178	262	1205
179	263	1199
180	265	1200
181	266	1196
182	266	1191
183	267	1185
184	268	1182
185	268	1177
186	269	1171
187	270	1167
188	271	1163
189	271	1159
190	272	1155
191	273	1150
192	273	1145
193	274	1140
194	275	1135
195	275	1130
196	276	1126
197	276	1121
198	277	1117
199	278	1112
200	279	1112
201	280	1109
202	281	1104
203	282	1100
204	282	1096
205	283	1092
206	284	1088
207	284	1083
208	285	1079
209	285	1074
210	286	1070
211	286	1066
212	287	1062
213	288	1057
214	288	1053
215	289	1049
216	289	1045
217	290	1041
218	290	1037
219	291	1033
220	292	1029
221	292	1025
222	293	1023
223	295	1022
224	295	1019
225	296	1015
226	297	1011
227	297	1008
228	298	1004
229	298	1000
230	299	997
231	300	994
232	301	991
233	302	988
234	302	985
235	303	981
236	303	978
237	304	974
238	304	970
239	305	967
240	305	963
241	306	960
242	307	957
243	310	961
244	311	958
245	312	957
246	313	955
247	314	952
248	314	949
249	315	946
250	316	943
251	316	939
252	317	936
253	317	933
254	318	929
255	318	926
256	319	923
257	320	921
258	321	918
259	321	915
260	322	912
261	323	910
262	324	910
263	325	907
264	326	904
265	326	901
266	327	899
267	328	896
268	328	893
269	329	890
270	329	887
271	330	884
272	331	882
273	331	879
274	332	876
275	333	874
276	333	871
277	334	868
278	335	865
279	335	862
280	336	860
281	336	857
282	337	854
283	339	855
284	339	852
285	340	850
286	341	847
287	341	845
288	342	842
289	343	839
290	343	837
291	344	834
292	345	833
293	346	831
294	347	829
295	347	826
296	348	824
297	348	821
298	353	828
299	355	830
300	356	827
301	357	825
302	357	823
303	358	820
304	359	818
305	359	815
306	360	813
307	361	811
308	361	809
309	363	808
310	364	807
311	364	804
312	365	802
313	366	799
314	366	797
315	367	794
316	367	792
317	369	793
318	370	791
319	371	788
320	371	786
321	372	784
322	373	781
323	373	779
324	374	777
325	375	775
326	375	773
327	376	771
328	377	769
329	377	767
330	378	764
331	378	762
332	379	760
333	380	757
334	380	755
335	381	753
336	381	751
337	383	750
338	383	748
339	384	746
340	385	744
341	385	742
342	386	740
343	387	738
344	387	735
345	388	734
346	389	732
347	390	730
348	390	728
349	391	727
350	392	725
351	392	723
352	393	721
353	394	719
354	394	717
355	395	715
356	395	713
357	397	713
358	399	712
359	399	710
360	400	708
361	400	706
362	401	704
363	402	702
364	403	701
365	404	699
366	404	698
367	405	696
368	406	694
369	406	692
370	407	690
371	408	688
372	408	686
373	409	684
374	409	683
375	410	681
376	413	683
377	414	681
378	414	679
379	415	677
380	416	675
381	416	674
382	417	672
383	418	671
384	418	669
385	419	667
386	420	665
387	420	663
388	421	661
389	421	659
390	422	657
391	423	656
392	423	654
393	424	652
394	424	650
395	425	648
396	425	646
397	427	646
398	428	644
399	428	642
400	429	641
401	430	639
402	430	638
403	431	636
404	431	634
405	432	632
406	433	631
407	433	629
408	434	627
409	435	626
410	436	624
411	436	623
412	437	621
413	437	619
414	438	617
415	438	615
416	439	614
417	439	612
418	440	610
419	442	611
420	443	609
421	443	608
422	444	606
423	445	604
424	445	603
425	446	601
426	447	599
427	447	598
428	448	596
429	448	595
430	449	593
431	450	591
432	450	590
433	451	588
434	451	586
435	452	585
436	452	583
437	453	582
438	454	580
439	454	578
440	455	577
441	456	576
442	457	575
443	458	574
444	459	572
445	459	571
446	460	569
447	461	568
448	461	566
449	462	564
450	462	563
451	463	561
452	463	560
453	464	558
454	464	556
455	465	555
456	466	554
457	466	552
458	467	550
459	468	549
460	468	547
461	469	546
462	469	544
463	470	543
464	471	542
465	473	542
466	473	540
467	474	539
468	474	537
469	475	536
470	475	534
471	476	533
472	477	531
473	478	530
474	478	529
475	479	527
476	479	526
477	480	524
478	480	523
479	481	521
480	482	520
481	482	518
482	483	517
483	483	515
484	484	514
485	485	513
486	486	512
487	487	511
488	487	509
489	488	508
490	488	506
491	489	505
492	490	503
493	490	502
494	491	501
495	491	499
496	492	498
497	493	497
498	493	495
499	494	494
500	494	492
501	495	491
502	496	490
503	497	489
504	497	487
505	498	486
506	498	484
507	499	483
508	499	482
509	500	480
510	501	479
511	501	478
512	502	477
513	503	475
514	503	474
515	504	473
516	505	471
517	505	470
518	506	469
519	506	467
